GPU: MetaX C500 | torch=2.8.0+metax3.7.1.3
reference: flash_attn.flash_attn_with_kvcache | candidate: build/exp660_candidate_normal.so | control: build/cuda_113889.so | seed: 20260823
[INFO] exact-241 lengths=241 q_head_tags=128 k_head_tags=256 v_head_tags=512
[PASS] case12 exact-101/241 length=13329 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.052 control_tol_ratio=0.052 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-102/241 length=14143 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-103/241 length=14144 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-104/241 length=14145 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-105/241 length=14159 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-106/241 length=14160 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-107/241 length=14161 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-108/241 length=14975 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-109/241 length=14976 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-110/241 length=14977 candidate_error=4.882812e-04 control_error=4.882812e-04 candidate_tol_ratio=0.029 control_tol_ratio=0.029 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-111/241 length=14991 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-112/241 length=14992 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-113/241 length=14993 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.053 control_tol_ratio=0.053 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-114/241 length=15807 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-115/241 length=15808 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-116/241 length=15809 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
[PASS] case12 exact-117/241 length=15823 candidate_error=9.765625e-04 control_error=9.765625e-04 candidate_tol_ratio=0.054 control_tol_ratio=0.054 pair_match=True bit_equal=True finite=True inputs_untouched=True guards=True
